vid,name,country
12554,Serdar Gürler,Turkey
12555,Okay Yokuşlu,Turkey
12626,Emiliano Insúa,Argentina
12737,David Villa,Spain
12772,Víctor Vázquez,Spain
12789,Felipe Gutiérrez,Chile
13107,Sergio Álvarez,Spain
13108,Marc Cardona,Spain
13157,Ivan Marcano,Spain
13360,Quincy Promes,Netherlands
13437,Diego Váleri,Argentina
13456,Daniel Candeias,Portugal
13552,Borja Fernández,Spain
13581,Emilio Nsue,Equatorial Guinea
13597,Oriol Busquets,Spain
13599,Carles Aleñà,Spain
13614,Francesco Bardi,Italy
13620,Éder Militão,Brazil
13730,Matthieu Saunier,France
13791,Julen Guerrero,Spain
13811,José Amavisca,Spain
13817,José Francisco Molina,Spain
15071,Lilian Thuram,France
15074,Zinédine Zidane,France
15297,Mickaël Ciani,France
15381,Johann Vogel,Switzerland
15416,Jukka Raitala,Finland
15516,Thierry Henry,France
15526,Jon Dahl Tomasson,Denmark
