,goals,assists,saves,yellow_cards,red_cards,minutes_played,matches,goals_p90,assists_p90,saves_p90,cards_p90,cluster,name,country
270,1,0,0,2,0,1602.0,23,0.056179775280898875,0.0,0.0,0.11235955056179775,0,Juanfran,Spain
271,4,1,0,2,0,1540.0,16,0.23376623376623376,0.05844155844155844,0.0,0.11688311688311688,0,Chory Castro,Uruguay
272,1,3,0,3,0,1448.0,17,0.06215469613259668,0.18646408839779005,0.0,0.18646408839779005,0,Keko,Spain
273,1,0,0,0,0,932.0,11,0.09656652360515021,0.0,0.0,0.0,0,Luciano Vietto,Argentina
274,0,0,0,6,0,1579.0,27,0.0,0.0,0.0,0.3419886003799873,0,Mehdi Lacen,Algeria
275,0,0,0,2,0,270.0,6,0.0,0.0,0.0,0.6666666666666667,0,Gabriel Paulista,Brazil
276,0,0,0,7,0,1602.0,21,0.0,0.0,0.0,0.39325842696629215,0,Javi Fuego,Spain
277,1,0,0,10,0,1306.0,30,0.06891271056661562,0.0,0.0,0.6891271056661562,0,Víctor Ruíz,Spain
278,1,0,0,1,0,225.0,5,0.4,0.0,0.0,0.4,0,David López,Spain
279,0,0,0,1,0,495.0,11,0.0,0.0,0.0,0.18181818181818182,0,Sergio Asenjo,Spain
280,0,0,0,1,0,120.0,1,0.0,0.0,0.0,0.75,0,Marc Navarro,Spain
281,1,3,0,12,0,2030.0,25,0.04433497536945812,0.1330049261083744,0.0,0.5320197044334976,0,Víctor Sánchez,Spain
282,0,0,0,2,0,237.0,2,0.0,0.0,0.0,0.7594936708860759,0,Enes Ünal,Turkey
283,1,1,0,1,0,1145.0,11,0.07860262008733625,0.07860262008733625,0.0,0.07860262008733625,0,Léo Baptistão,Brazil
284,0,1,0,11,0,1578.0,33,0.0,0.05703422053231939,0.0,0.6273764258555133,0,Álvaro González,Spain
285,0,1,0,2,0,978.0,12,0.0,0.09202453987730062,0.0,0.18404907975460125,0,Pablo Piatti,Argentina
286,0,1,0,0,0,617.0,9,0.0,0.1458670988654781,0.0,0.0,0,Pablo Fornals,Spain
287,6,4,0,4,1,1736.0,24,0.3110599078341014,0.2073732718894009,0.0,0.25921658986175117,0,Gerard Moreno,Spain
288,1,2,0,0,0,347.0,5,0.25936599423631124,0.5187319884726225,0.0,0.0,0,Sergio García,Spain
289,0,0,0,1,0,90.0,2,0.0,0.0,0.0,1.0,0,Naldo,Brazil
290,0,0,0,5,0,524.0,9,0.0,0.0,0.0,0.8587786259541985,0,Esteban Granero,Spain
291,2,1,0,4,0,2021.0,24,0.08906481939633845,0.044532409698169226,0.0,0.1781296387926769,0,Manu Trigueros,Spain
292,1,1,0,6,0,1647.0,35,0.054644808743169404,0.054644808743169404,0.0,0.32786885245901637,0,Mario Gaspar,Spain
293,1,0,0,0,0,238.0,3,0.37815126050420167,0.0,0.0,0.0,0,Federico Valverde,Uruguay
294,0,0,0,13,0,2055.0,29,0.0,0.0,0.0,0.5693430656934306,0,Dani García,Spain
295,0,3,0,5,0,1133.0,18,0.0,0.23830538393645193,0.0,0.39717563989408644,0,David Juncà,Spain
296,0,0,0,2,0,1273.0,26,0.0,0.0,0.0,0.14139827179890024,0,Sidnei,Brazil
297,0,0,0,7,0,967.0,17,0.0,0.0,0.0,0.6514994829369183,0,Iván Ramis,Spain
298,0,0,0,1,0,106.0,1,0.0,0.0,0.0,0.8490566037735848,0,Enis Bardhi,"Macedonia, Republic of"
299,1,0,0,1,0,477.0,7,0.18867924528301888,0.0,0.0,0.18867924528301888,0,Samu,Spain
300,0,2,0,5,0,1005.0,19,0.0,0.1791044776119403,0.0,0.44776119402985076,0,Toño,Spain
301,0,0,0,1,0,135.0,3,0.0,0.0,0.0,0.6666666666666667,0,Yassine Bounou,Morocco
302,1,0,0,6,0,841.0,19,0.1070154577883472,0.0,0.0,0.6420927467300832,0,Pedro López,Spain
303,0,1,0,4,0,1266.0,22,0.0,0.07109004739336493,0.0,0.2843601895734597,0,Xabier Etxeita,Spain
